date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-07-26,Digible,Marketing tech / real estate,Senior Software Engineer,full-time,LinkedIn,rejected,,72 Good Fit,"marked applied 2026-07-26 per /rank full evaluation; strongest culture signal of the batch (4.8/5 Glassdoor); 2026-07-29 gmail-sync: rejection (""Senior Software Engineer @ Digible | Update on Application"")",,,https://www.linkedin.com/jobs/view/senior-software-engineer-at-digible-inc-4441421396
2026-07-26,Watershed,Climate / sustainability SaaS,"Staff Software Engineer, Sustainability Platform",full-time,LinkedIn,rejected,,67 Good Fit,"marked applied 2026-07-26 per /rank full evaluation; founding Denver-office role with strong regulatory-domain overlap; 2026-07-29 gmail-sync: rejection (""Thank you from Watershed"")",,,https://www.linkedin.com/jobs/view/staff-software-engineer-sustainability-platform-at-watershed-4435035095
2026-07-26,ZipRecruiter,HR tech / job marketplace,"Senior Software Engineer, Full Stack",full-time,Greenhouse (direct),rejected,,67 Good Fit,"marked applied 2026-07-26 per /rank full evaluation; direct React/JS match; 2026-07-30 gmail-sync: rejection (""Thank You From ZipRecruiter - Senior Software Engineer, Full Stack"", 2026-07-21)", fully remote,,,https://job-boards.greenhouse.io/ziprecruiter/jobs/6556954?utm_source=freehire.dev
2026-07-26,Empower,Retirement / financial services,Sr Software Engineer,full-time,LinkedIn,applied,,68 Good Fit,marked applied 2026-07-26; CV and cover letter tailored around regulated financial-services stack match (Java/Spring Boot/React/AWS confirmed via sibling postings),cv/main_empower_senior-software-engineer.tex,cover_letters/cover_empower_senior-software-engineer.tex,https://www.linkedin.com/jobs/view/sr-software-engineer-at-empower-4440458327
2026-07-28,Lyra Health,Mental health benefits / health tech,Sr. Software Engineer - Full Stack,full-time,LinkedIn,applied,,76 Strong Fit,marked applied 2026-07-28 per /apply Step 1 evaluation; applied directly via posting's own application form/screening questions (mission fit; primary tech Java/Spring Boot; proudest project the Slalom insurance-claims build) rather than through /apply's CV+cover-letter draft,,,https://www.linkedin.com/jobs/view/sr-software-engineer-full-stack-at-lyra-health-4410407134
2026-07-29,Affirm,Fintech / BNPL,"Senior Software Engineer, Full Stack (Zero to One Labs)",full-time,freehire (Greenhouse direct),applied,,68 Good Fit,marked applied 2026-07-29 per /apply Step 1 evaluation; applied directly - user declined the CV/cover-letter drafting step,,,https://job-boards.greenhouse.io/affirm/jobs/7686804003?utm_source=freehire.me
2026-07-29,CVS Health,Healthcare / insurance (Aetna),Senior Software Development Engineer,full-time,LinkedIn,applied,,not evaluated via /apply,marked applied 2026-07-29 by user directly (found outside the scrape/rank pipeline); onsite Denver CO role on Aetna guest experience systems (Tier 1); not run through the fit framework,,,https://www.linkedin.com/jobs/view/4446056950
2026-07-29,Garmin,Outdoor / fitness tech,Senior Java Software Engineer,full-time,LinkedIn,rejected,,not evaluated via /apply,"marked applied 2026-07-29 by user directly (found outside the scrape/rank pipeline); onsite Boulder CO role on Outdoor and Fitness teams, rotating on-call; not run through the fit framework; 2026-07-31 gmail-sync: rejection (""Senior Software Engineer - Java/Kotlin at Garmin International (Boulder, CO)"")",,,https://www.linkedin.com/jobs/view/4446834787
2026-07-29,Daxko,SaaS - fitness/wellness/community org management platform,Senior Software Engineer - Full Stack,full-time,LinkedIn,applied,,65.6 Good Fit,marked applied 2026-07-29 by user directly; hybrid Centennial CO (1 day/week onsite - within Denver metro); legacy modernization work (ColdFusion migrating to Java/Spring Boot + React); ranked via /rank triage on 2026-07-27 but not run through full /apply company-research evaluation,,,https://www.linkedin.com/jobs/view/senior-software-engineer-full-stack-at-daxko-4440863410
2026-07-29,Hagerty,Insurance / member community (auto enthusiast),Fullstack Software Engineer,full-time,LinkedIn,applied,,not evaluated via /apply,marked applied 2026-07-29 by user directly (found outside the scrape/rank pipeline); Member Engagement team; remote available/Fort Collins CO option within Denver-metro hybrid backup zone; stack NextJS/TypeScript/Node.js/AWS/Flutter; not run through the fit framework,,,https://www.linkedin.com/jobs/view/4446439453
2026-07-20,Candid Health,Healthcare / medical billing (RCM) SaaS,Front End Software Engineer,full-time,Ashby (direct),rejected,,74.8 Good Fit,"applied 2026-07-20 (found via Gmail history 2026-07-30, outside the scrape/rank pipeline); Ashby confirmation ""Candid Health: Application Received"" for Front End Software Engineer (2026-07-20); rejected same day per ""Thank you from Candid Health"" (2026-07-20)",,,https://www.linkedin.com/jobs/view/front-end-software-engineer-at-candid-health-4429122044
2026-07-20,Xe.com,Fintech / money transfer & FX,Full Stack Software Engineer (Mid),full-time,Jobvite (direct),rejected,,73.6 Good Fit,"applied 2026-07-20 (found via Gmail history 2026-07-30, outside the scrape/rank pipeline); Jobvite confirmation received 2026-07-20; rejected 2026-07-26 per ""Your application for Full Stack Software Engineer (Mid) at Xe""",,,https://www.linkedin.com/jobs/view/full-stack-software-engineer-mid-at-xe-com-4437748244
2026-07-30,Auria Space,Space / national security software,Software Engineer (BOA program),contract,LinkedIn (posting application form),applied,,60 Good Fit,"applied 2026-07-30 via the posting's own application form (answered the qualifications screening question, AI-writing pass); defensive space software (missile warning/tracking, space ops) - within the narrowed weapons/warfighting deal-breaker; active Secret clearance meets ""required to start""; onsite Boulder (Denver-metro backup), contract role, C/C++ core-requirement gap acknowledged",,,https://www.linkedin.com/jobs/view/software-engineer-at-auria-space-4443982949
2026-07-25,Workday,,Software Development Engineer - Workday Everywhere,,Workday (myworkday.com),rejected,,not evaluated (captured via gmail-sync),"captured via gmail-sync 2026-07-30; application made outside the scrape/rank pipeline; rejection (""Thank you from Workday"", 2026-07-25): ""the hiring team has decided to move forward with other candidates""",,,
2026-07-31,Boom Supersonic,Aerospace (civil supersonic aircraft),"Software Engineer, Full Stack",full-time,LinkedIn,applied,,69.8 Good Fit,"marked applied 2026-07-31 via /apply Step 1 full evaluation (top of the /rank shortlist); applied directly, no CV/cover letter drafted through the workflow; onsite Englewood CO (Denver-metro backup); ITAR/citizenship eligibility gate passed cleanly; culture flagged as high-intensity ""founder energy"" against candidate's trust-building strength",,,https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-boom-supersonic-4387607502
2026-08-03,Trihydro Corporation,Transportation tech / connected-vehicle & ITS software (gov consulting),Software Developer - Connected Vehicles,full-time,LinkedIn (job alert),applied,,70.0 Good Fit,"marked applied 2026-08-03 per user; /rank triage 70.0 Good Fit incl. Step 3.5 company research (employee-owned 40-yr firm, Glassdoor 3.6/5 / 66% recommend, genuine greenfield CV/ITS platform work - SDX, WYDOT C-V2X - for state DOTs/USDOT, +4 behavioral); Fort Collins CO within Denver-metro/Northern-CO zone; Java/Spring/Hibernate/REST direct stack match; remote/hybrid policy unconfirmed and pay flagged below-market",,,https://www.linkedin.com/jobs/view/4417333790
2026-08-03,Rocket Money (truebill),Fintech / personal finance app,"Senior Full Stack Engineer, Autopilot",full-time,freehire (Greenhouse direct),applied,,70.8 Good Fit,"marked applied 2026-08-03 per user; full /apply workflow run (tailored CV + cover letter drafted, reviewer research + grounding audit, compiled/verified 2pg CV + 1pg letter); Remote USA; TypeScript/React/GraphQL direct match, Node backend framed at honest project level, 7+ yrs met via 2017-present timeline; comp $150-185k; company hook (Autopilot Savings mechanic) verified via rocketmoney.com; grounding fix - removed unsupported React claim on 2019-22 Boeing role",cv/main_rocket-money_senior-full-stack-engineer.tex,cover_letters/cover_rocket-money_senior-full-stack-engineer.tex,https://job-boards.greenhouse.io/truebill/jobs/7805156003?utm_source=freehire.me
2026-08-03,AppFolio,Real-estate SaaS (property management),"Sr. Software Engineer, Mixed Portfolio Foundation",full-time,LinkedIn,applied,,68.1 Good Fit,"marked applied 2026-08-03 per user; applied directly (not run through full /apply drafting); Denver CO / remote-friendly, newly formed foundation team; strengths - complex data models under compliance + architectural modernization + trust-based empowered-team culture (strong behavioral fit); main gap Ruby on Rails primary backend (only hobby-level ror-webapp project), React/MySQL/AWS/TDD/Agile direct match; real-estate not a target sector",,,https://www.linkedin.com/jobs/view/sr-software-engineer-mixed-portfolio-foundation-at-appfolio-4407544195
2026-08-03,Novellia,Health-tech / patient health-data platform (RWD for biopharma),Senior Backend Engineer,full-time,freehire (Ashby direct),applied,,66.1 Good Fit,"marked applied 2026-08-03 per user; applied directly (no /apply drafting); remote, $150-200k + equity; early well-funded startup (Spark/Khosla), building eng team from ground up; strengths - Java explicitly accepted as backend lang, Splunk observability near-exact match, REST/microservices/AWS/relational DBs, compliance-data to FHIR transfer; gaps - LLM/AI integration (growth area), backend-only underuses full-stack React half; Step 3.5 research +9 behavioral (mission/greenfield/remote)",,,https://jobs.ashbyhq.com/novellia/8c21bed8-d3d3-4baa-992c-b298601c51b8
